step,v8_5,v9_2,v9_5,aggregate_close
1,422.32007,424.31042,422.9341,423.18857
2,423.55017,423.80594,422.8828,423.415
3,422.6475,424.8406,423.65704,423.71454
4,422.21893,424.9475,422.72495,423.29846
5,423.42404,424.4531,425.1948,424.3536
6,424.21454,424.93845,423.69934,424.2862
7,425.14383,425.49442,426.50278,425.7104
