expert,version,lookback,feature_mode,architecture,saved_weight,final_weight
v8_5,v8.5,64,core,gru,0.33500372718682075,0.33500372718682075
v9_2,v9.2,128,regime,gru,0.33433068416005435,0.33433068416005435
v9_5,v9.5,128,core,gru_rag,0.33066558865312484,0.33066558865312484
