metric,value
prediction_count,120.0
directional_hit_rate_t1,0.4666666666666667
aggregate_path_mae,13.940841374794642
aggregate_path_ohlc_mae,13.07760394612948
aggregate_path_range_mae,3.5952130953470864
aggregate_step_1_ohlc_mae,4.876330820719401
aggregate_step_1_range_mae,3.714959716796875
aggregate_horizon_ohlc_mae,18.524324480692545
aggregate_step_1_close_mae,6.094962310791016
aggregate_step_3_close_mae,12.783417002360027
aggregate_step_5_close_mae,16.639114379882812
aggregate_step_7_close_mae,19.063527170817057
