Open,High,Low,Close
419.31213,421.64746,414.20926,419.34253
419.56125,423.0016,413.18912,417.13144
415.56427,421.2843,413.30933,417.59515
414.54517,417.85907,413.8206,415.304
416.68118,418.93018,413.37073,417.13425
416.4963,420.5744,414.62546,419.6842
416.9094,422.1571,416.1753,420.9012
421.2128,424.37473,415.02673,421.07748
421.6564,422.4932,416.21765,417.79007
419.25916,424.61774,410.73764,424.1254
423.58817,426.58484,420.76004,421.28284
424.885,425.27054,416.716,419.62518
420.7215,425.21716,417.42825,417.47476
416.43268,419.8346,416.43268,419.0345
411.71466,421.00366,411.35306,420.3384
422.32056,423.61664,417.4801,422.3864
425.44672,426.69614,416.4373,418.914
417.14362,424.24112,415.84213,421.07172
420.2761,424.06744,419.2063,422.99762
424.87625,425.78232,418.1963,419.9086
418.95334,424.39923,418.2721,419.15582
419.1377,420.23672,413.07565,418.16595
417.68115,418.56384,415.83783,417.98572
414.5598,421.23502,414.10437,420.2337
424.59717,426.16568,418.92612,419.81665
419.47003,420.32245,415.67654,416.3182
417.6522,422.5107,414.64893,420.8031
422.01166,422.73764,413.63828,415.861
414.96445,419.36252,414.75165,419.36252
420.14584,420.8195,414.41052,416.78885
415.71857,417.4201,415.56116,416.33688
414.39517,419.46777,412.58798,417.80008
420.07483,420.52258,414.86716,416.7656
416.38287,416.43784,413.67755,415.2691
412.62466,416.0344,411.0652,414.74496
415.80188,416.80316,412.35553,416.57062
417.00134,422.12042,416.21613,419.28732
419.35098,424.78845,414.40683,417.962
420.23672,423.82532,413.34604,420.58737
417.08835,424.77866,415.89157,420.46472
425.1316,428.20648,418.33862,421.32843
412.72015,421.6413,412.72015,420.94644
420.08276,422.87473,419.31665,421.44583
421.84897,422.95862,421.17023,422.37537
425.0157,430.49164,415.58423,420.8634
420.6179,424.9068,417.847,420.59158
419.10138,424.4808,417.01407,419.92007
422.2138,423.06863,413.72464,418.82855
418.4577,418.86392,414.43396,414.43396
417.50797,419.1248,413.542,417.51907
