step,v8_5,v9_1,v9_2,v9_5,aggregate_close
1,422.18243,421.80655,411.49347,420.75394,419.34253
2,424.43533,425.65866,421.29373,413.55112,417.13144
3,419.12704,420.81357,410.63983,418.41113,417.59515
4,413.42758,414.6998,404.666,417.4602,415.304
5,422.2631,422.7255,403.50653,418.4464,417.13425
6,427.38058,429.27478,406.08527,420.67172,419.6842
7,425.79886,428.53662,402.24896,424.11664,420.9012
8,419.63498,422.52023,401.9428,426.3803,421.07748
9,422.10608,424.3504,406.6352,418.68558,417.79007
10,427.06314,429.48422,411.64865,427.4428,424.1254
11,423.67923,427.10315,403.5467,425.05457,421.28284
12,419.3802,422.34473,406.71985,422.71542,419.62518
13,419.58212,421.83923,402.2792,419.8947,417.47476
14,425.13553,427.39853,400.9003,421.32635,419.0345
15,429.28198,432.6796,401.4325,422.1132,420.3384
16,427.58002,431.60992,410.56543,424.13876,422.3864
17,427.64444,431.9157,416.30402,416.47263,418.914
18,425.60175,430.01434,410.83267,422.24738,421.07172
19,428.51038,432.75244,399.31226,427.52307,422.99762
20,429.67072,434.47797,405.145,420.14206,419.9086
21,425.6225,430.59396,407.18347,419.52945,419.15582
22,425.29642,429.74994,408.64633,417.58023,418.16595
23,428.32306,432.5054,406.4413,416.87338,417.98572
24,425.2553,430.0571,406.30316,421.82263,420.2337
25,424.07913,428.4363,403.01758,422.2563,419.81665
26,423.69833,427.51645,394.63004,418.05997,416.3182
27,419.2052,422.86926,404.96133,425.19952,420.8031
28,426.18854,429.27676,399.30673,415.4993,415.861
29,428.32294,432.6655,406.477,419.3325,419.36252
30,424.98386,429.79462,397.15726,417.78033,416.78885
31,421.69244,426.23273,396.29993,418.2145,416.33688
32,418.04602,421.49557,394.36905,422.5982,417.80008
33,421.8059,424.54663,392.4818,420.11353,416.7656
34,414.07965,417.2662,396.65344,418.75095,415.2691
35,409.515,411.46896,401.78918,418.2112,414.74496
36,410.24054,411.6684,401.76144,421.37967,416.57062
37,419.49768,420.9603,397.69858,424.3807,419.28732
38,422.28308,425.0681,396.38193,421.22525,417.962
39,423.3365,426.9779,410.38867,422.28882,420.58737
40,417.72394,421.68433,413.2812,423.07724,420.46472
41,428.12762,431.2308,405.63684,423.33536,421.32843
42,427.9629,432.8983,406.05054,422.3173,420.94644
43,428.29388,433.35458,412.60388,421.58774,421.44583
44,428.66464,433.89133,412.90387,423.06134,422.37537
45,423.95084,429.42065,415.78754,421.07227,420.8634
46,426.63477,431.5138,412.25565,420.6604,420.59158
47,421.45114,426.76352,414.20242,420.52402,419.92007
48,423.69916,427.95865,414.93814,417.84894,418.82855
49,415.13528,419.91647,403.03906,415.19568,414.43396
50,423.56537,426.91208,403.11984,418.38773,417.51907
