anchor_timestamp,actual_next_close,aggregate_next_close,v8_5_next_close,v9_1_next_close,v9_2_next_close,v9_5_next_close
2026-04-17 13:36:00+00:00,424.70001220703125,425.4274597167969,423.68701171875,426.5038146972656,432.82379150390625,424.131591796875
2026-04-17 13:37:00+00:00,425.1399841308594,426.3387451171875,430.4098205566406,428.1796875,431.7712097167969,424.6204833984375
2026-04-17 13:38:00+00:00,425.5250244140625,425.3226318359375,427.3309326171875,425.46923828125,421.53057861328125,425.915771484375
2026-04-17 13:39:00+00:00,425.5199890136719,425.6915588378906,424.28900146484375,425.84771728515625,427.6125793457031,425.4852600097656
2026-04-17 13:40:00+00:00,425.66998291015625,426.0859680175781,423.8807678222656,425.3910827636719,430.22589111328125,425.7304382324219
2026-04-17 13:41:00+00:00,425.23004150390625,425.0665283203125,424.5913391113281,421.2575988769531,424.2288513183594,425.7550964355469
2026-04-17 13:42:00+00:00,426.010009765625,424.87646484375,426.82867431640625,424.5655822753906,423.2308044433594,424.9077453613281
2026-04-17 13:43:00+00:00,425.4700012207031,427.2268371582031,424.1703796386719,426.04229736328125,436.6639709472656,426.0318603515625
2026-04-17 13:44:00+00:00,425.82000732421875,426.8007507324219,426.8948669433594,430.0893249511719,435.3410339355469,424.6708068847656
2026-04-17 13:45:00+00:00,426.0350341796875,425.95904541015625,427.68316650390625,429.2726745605469,423.24066162109375,425.8490905761719
2026-04-17 13:46:00+00:00,424.8000183105469,426.10302734375,427.8641052246094,430.3487854003906,423.0478820800781,425.90240478515625
2026-04-17 13:47:00+00:00,424.2699890136719,424.16015625,423.1144714355469,422.4163513183594,422.6525573730469,424.7635498046875
2026-04-17 13:48:00+00:00,424.87994384765625,423.5814208984375,420.7470397949219,420.1082763671875,427.9993896484375,423.3453369140625
2026-04-17 13:49:00+00:00,425.20001220703125,425.1246643066406,420.5066223144531,424.9625549316406,426.4907531738281,425.6112365722656
2026-04-17 13:50:00+00:00,425.5000305175781,427.05377197265625,427.2134704589844,426.32574462890625,421.4428405761719,428.9393615722656
2026-04-17 13:51:00+00:00,425.9700012207031,427.197265625,426.82525634765625,425.390380859375,421.6438293457031,429.2748107910156
2026-04-17 13:52:00+00:00,425.8100280761719,428.3031005859375,427.0816650390625,425.41522216796875,427.6861877441406,429.7110900878906
2026-04-17 13:53:00+00:00,425.6700134277344,428.3431701660156,427.3235168457031,426.94342041015625,427.3109436035156,429.64129638671875
2026-04-17 13:54:00+00:00,425.48004150390625,428.2447204589844,426.9595642089844,427.23968505859375,427.5144348144531,429.4646301269531
2026-04-17 13:55:00+00:00,425.4200439453125,426.6845397949219,427.388916015625,426.79296875,427.38787841796875,426.7242126464844
2026-04-17 13:56:00+00:00,425.0900573730469,425.7813415527344,422.2138977050781,422.3442687988281,428.44085693359375,426.34332275390625
2026-04-17 13:57:00+00:00,424.9100341796875,425.52294921875,422.2286376953125,422.9643249511719,426.8096008300781,426.2440185546875
2026-04-17 13:58:00+00:00,424.32000732421875,425.3162841796875,421.4990539550781,424.2903137207031,427.4292297363281,425.68408203125
2026-04-17 13:59:00+00:00,424.739990234375,424.2000732421875,420.8252258300781,422.994140625,425.83612060546875,424.4947204589844
2026-04-17 14:00:00+00:00,425.06500244140625,424.5046081542969,421.38458251953125,422.93341064453125,426.4360046386719,424.71673583984375
2026-04-17 14:01:00+00:00,424.760009765625,425.5716552734375,422.09686279296875,423.8055114746094,426.8437805175781,426.221923828125
2026-04-17 14:02:00+00:00,424.6300048828125,424.7099914550781,421.5082092285156,424.61639404296875,428.043701171875,424.4341125488281
2026-04-17 14:03:00+00:00,424.57501220703125,424.55438232421875,421.14227294921875,422.64990234375,427.6036682128906,424.64813232421875
2026-04-17 14:04:00+00:00,424.46002197265625,424.46746826171875,421.5063171386719,422.01971435546875,426.7137756347656,424.75201416015625
2026-04-17 14:05:00+00:00,424.3100280761719,424.3052978515625,421.45245361328125,421.7851257324219,426.6670837402344,424.5448913574219
2026-04-17 14:06:00+00:00,424.4300231933594,424.3663330078125,421.15753173828125,421.0408630371094,427.5768737792969,424.6460266113281
2026-04-17 14:07:00+00:00,423.8450012207031,424.0459899902344,421.4158630371094,421.2064514160156,426.25054931640625,424.27447509765625
2026-04-17 14:08:00+00:00,423.7699890136719,422.9497375488281,421.07794189453125,419.5843811035156,420.26025390625,424.133056640625
2026-04-17 14:09:00+00:00,424.6600036621094,423.02777099609375,421.1298522949219,420.2809753417969,420.10894775390625,424.2144470214844
2026-04-17 14:10:00+00:00,424.6600036621094,424.64996337890625,422.25701904296875,422.119873046875,421.5792541503906,426.1132507324219
2026-04-17 14:11:00+00:00,424.5400085449219,424.419677734375,422.17205810546875,421.90509033203125,420.8861999511719,425.9024963378906
2026-04-17 14:12:00+00:00,424.3800354003906,423.69158935546875,421.10406494140625,422.1474914550781,421.3261413574219,424.6427917480469
2026-04-17 14:13:00+00:00,424.23004150390625,424.0793762207031,421.4213562011719,420.6799621582031,426.4967041015625,424.3718566894531
2026-04-17 14:14:00+00:00,424.6100158691406,423.9532470703125,421.34228515625,420.4203796386719,426.1845703125,424.30841064453125
2026-04-17 14:15:00+00:00,424.88995361328125,424.21478271484375,420.9188232421875,420.9791564941406,426.22186279296875,424.6492004394531
2026-04-17 14:16:00+00:00,424.65997314453125,425.1150817871094,421.2623291015625,421.5613708496094,426.8935546875,425.9052734375
2026-04-17 14:17:00+00:00,424.20001220703125,424.89385986328125,421.3697204589844,421.00445556640625,426.9747619628906,425.6177062988281
2026-04-17 14:18:00+00:00,424.2400207519531,424.44537353515625,420.44329833984375,420.1230773925781,425.88092041015625,425.4613952636719
2026-04-17 14:19:00+00:00,424.6299743652344,424.5940246582031,420.4988098144531,420.1258850097656,426.7410583496094,425.5121154785156
