Open,High,Low,Close
424.3738,428.2378,419.03662,423.80576
422.88254,428.28275,418.49762,424.38483
423.74536,429.2029,419.42566,424.0699
424.39996,428.84534,418.82452,424.42487
425.18445,429.06348,419.89355,424.46106
424.99274,428.31262,419.77686,424.22546
424.12836,429.89578,420.19937,425.22128
