step,v8_5,v9_1,v9_2,aggregate_close
1,427.10086,428.55206,426.34882,427.451
2,429.1466,431.98007,428.55368,430.08588
3,423.63434,427.15875,422.97284,424.82486
4,417.83246,420.82922,417.2182,418.8296
5,426.73914,428.83374,426.79285,427.5772
6,431.89355,435.28516,431.54004,433.1219
7,430.28433,434.33737,429.2532,431.57443
8,424.05222,428.11844,423.17334,425.39197
9,426.54944,429.89493,425.97174,427.69418
10,431.55753,434.9831,430.74762,432.66586
11,428.13858,432.4549,427.1789,429.55292
12,423.7999,427.5735,422.8373,425.0003
13,424.0117,427.0347,422.99332,424.90112
14,429.6295,432.61417,428.7442,430.54272
15,433.82617,437.8979,432.67355,435.08813
16,432.11508,436.7624,430.10828,433.35352
17,432.18796,437.026,430.94968,433.72577
18,430.13397,435.0778,428.99814,431.74323
19,433.08597,437.84885,431.982,434.6335
20,434.26944,439.5772,433.07712,436.0051
21,430.18884,435.62,428.92853,431.95306
22,429.87473,434.79892,428.63373,431.44556
23,432.94708,437.59702,431.43823,434.332
24,429.85764,435.10837,428.594,431.55008
25,428.68454,433.49673,427.24982,430.15482
26,428.3139,432.58395,426.6888,429.51575
27,423.78476,427.88516,422.4447,425.00323
28,430.86066,434.4107,429.79767,431.94397
29,433.02884,437.81165,432.0684,434.6261
30,429.6681,434.906,428.26236,431.314
31,426.35504,431.3223,425.33438,428.0071
32,422.68546,426.5732,420.99652,423.71854
33,426.50195,429.69946,425.169,427.36798
34,418.70126,422.32327,417.52313,419.77924
35,414.10327,416.51273,413.13297,414.76587
36,414.85135,416.7681,414.70377,415.5608
37,424.22623,426.19656,424.0969,424.96204
38,427.05338,430.3087,426.3395,428.12296
39,428.13284,432.2343,427.20575,429.47235
40,422.47064,426.88147,421.23398,423.8412
41,433.00897,436.5878,431.77588,434.0539
42,432.853,438.25653,431.30148,434.52133
43,433.20227,438.71848,431.33707,434.82324
44,433.59058,439.2657,431.89444,435.32327
45,428.83652,434.7535,427.22446,430.68875
46,431.56848,436.93396,429.83356,433.1683
47,426.33725,432.1428,424.6191,428.11475
48,428.62704,433.39337,426.59323,429.90433
49,419.97473,425.26196,418.49472,421.6183
50,428.52017,432.41287,427.0746,429.62628
