anchor_timestamp,actual_next_close,aggregate_next_close,v8_5_next_close,v9_1_next_close,v9_5_next_close
2026-04-20 13:36:00+00:00,420.3899841308594,422.0084228515625,420.0678405761719,423.6571044921875,422.0494384765625
2026-04-20 13:37:00+00:00,420.30999755859375,419.5306396484375,415.03515625,416.0016784667969,420.07330322265625
2026-04-20 13:38:00+00:00,419.04998779296875,419.1597595214844,417.7681579589844,416.7220764160156,419.022216796875
2026-04-20 13:39:00+00:00,417.9700012207031,418.878173828125,417.2417907714844,415.6290588378906,419.3968200683594
2026-04-20 13:40:00+00:00,418.2900390625,419.07220458984375,416.27703857421875,414.5641174316406,420.57550048828125
2026-04-20 13:41:00+00:00,417.42999267578125,418.72552490234375,420.34075927734375,414.4576416015625,419.2903747558594
2026-04-20 13:42:00+00:00,417.6600036621094,417.74029541015625,417.474365234375,416.6614990234375,418.0746154785156
2026-04-20 13:43:00+00:00,417.47998046875,417.7880859375,419.3795166015625,414.8730163574219,418.0221252441406
2026-04-20 13:44:00+00:00,417.32000732421875,419.11151123046875,418.3725891113281,414.7251892089844,420.62615966796875
2026-04-20 13:45:00+00:00,418.6300354003906,417.6243896484375,418.653564453125,415.92449951171875,417.87127685546875
2026-04-20 13:46:00+00:00,418.74005126953125,419.3287353515625,418.9872741699219,419.6934814453125,419.7001037597656
2026-04-20 13:47:00+00:00,418.07000732421875,419.2432556152344,420.1018371582031,419.3246765136719,419.3953552246094
2026-04-20 13:48:00+00:00,418.0249938964844,419.1094055175781,418.7272644042969,417.3175048828125,419.9380187988281
2026-04-20 13:49:00+00:00,418.1600036621094,418.4352722167969,420.2844543457031,415.8751525878906,418.7439270019531
2026-04-20 13:50:00+00:00,418.3900146484375,418.2998046875,415.1206359863281,415.98480224609375,419.06146240234375
2026-04-20 13:51:00+00:00,418.4100036621094,418.601806640625,415.7771911621094,415.50146484375,419.4559020996094
2026-04-20 13:52:00+00:00,419.1399841308594,418.8184814453125,415.9462585449219,415.5312805175781,419.80718994140625
2026-04-20 13:53:00+00:00,419.2900085449219,419.6541442871094,416.67547607421875,421.075927734375,420.1241455078125
2026-04-20 13:54:00+00:00,419.5000305175781,419.3441467285156,416.8601989746094,421.0594787597656,419.4692077636719
2026-04-20 13:55:00+00:00,420.27001953125,419.4253234863281,416.85418701171875,421.0414123535156,419.50469970703125
2026-04-20 13:56:00+00:00,420.3099670410156,420.77203369140625,417.376953125,422.66778564453125,421.2283630371094
2026-04-20 13:57:00+00:00,420.4000244140625,422.23614501953125,421.6662902832031,418.0809326171875,423.8586120605469
2026-04-20 13:58:00+00:00,420.2450256347656,420.6086120605469,421.5852355957031,425.1524963378906,420.03033447265625
2026-04-20 13:59:00+00:00,420.5450134277344,420.5279541015625,422.33160400390625,421.1910400390625,420.3711853027344
2026-04-20 14:00:00+00:00,421.4450378417969,419.9785461425781,417.1788635253906,421.26165771484375,419.8646545410156
2026-04-20 14:01:00+00:00,421.3349914550781,421.25421142578125,419.14990234375,422.2261962890625,421.29351806640625
2026-04-20 14:02:00+00:00,421.84002685546875,420.6938781738281,418.3747253417969,417.11932373046875,421.08709716796875
2026-04-20 14:03:00+00:00,421.72998046875,421.2057800292969,420.0816345214844,417.8489990234375,421.4261474609375
2026-04-20 14:04:00+00:00,421.82000732421875,421.2840270996094,418.6083984375,417.192138671875,421.89105224609375
2026-04-20 14:05:00+00:00,422.6400146484375,421.1649475097656,418.6355285644531,417.4326171875,421.59674072265625
2026-04-20 14:06:00+00:00,422.1200256347656,421.94659423828125,421.7154235839844,419.14263916015625,421.9544982910156
