step,v8_5,v9_2,v9_5,aggregate_close
1,422.19943,424.19806,422.74744,422.99722
2,428.2885,420.4557,419.79663,421.67386
3,430.58798,425.9761,423.70605,424.92133
4,430.0602,423.92383,422.1781,423.71338
5,434.0224,435.22845,430.19376,430.26578
6,437.96088,434.5534,428.89374,429.94717
7,445.9134,443.60718,435.31784,435.86264
