anchor_timestamp,actual_next_close,aggregate_next_close,v8_5_next_close,v9_2_next_close,v9_5_next_close
2026-01-16 05:00:00+00:00,459.760009765625,459.3200988769531,464.9204406738281,456.5696716308594,459.10308837890625
2026-01-20 05:00:00+00:00,454.635009765625,461.2447204589844,466.5860290527344,458.92303466796875,460.74932861328125
2026-01-21 05:00:00+00:00,444.0,454.3684387207031,451.17303466796875,453.38421630859375,455.1689453125
2026-01-22 05:00:00+00:00,450.9150695800781,444.6744384765625,443.13165283203125,442.7064208984375,445.4779968261719
2026-01-23 05:00:00+00:00,465.8100280761719,451.7590637207031,449.0229797363281,449.15020751953125,452.96746826171875
2026-01-26 05:00:00+00:00,470.3000183105469,465.9063720703125,464.2677917480469,463.0084533691406,466.7297668457031
2026-01-27 05:00:00+00:00,480.60003662109375,470.9765930175781,468.4705505371094,469.7414855957031,471.88812255859375
2026-01-28 05:00:00+00:00,481.6400146484375,481.0851135253906,478.8628845214844,480.0296936035156,481.859619140625
2026-01-29 05:00:00+00:00,433.1200256347656,482.2070007324219,480.3675537109375,482.7825927734375,482.67236328125
2026-01-30 05:00:00+00:00,430.04998779296875,466.5032653808594,433.2728271484375,435.3629455566406,426.7428283691406
2026-02-02 05:00:00+00:00,423.2399597167969,450.7995300292969,430.1747131347656,428.33575439453125,430.6239013671875
2026-02-03 05:00:00+00:00,411.2499694824219,435.8143005371094,422.0494689941406,421.74212646484375,424.79498291015625
2026-02-04 05:00:00+00:00,414.1800231933594,420.8290710449219,410.5716857910156,409.9842529296875,413.09783935546875
2026-02-05 05:00:00+00:00,393.64996337890625,414.50091552734375,411.58453369140625,412.0110168457031,415.6053161621094
2026-02-06 05:00:00+00:00,401.0150146484375,398.79718017578125,393.7174377441406,392.3110656738281,396.2333984375
2026-02-09 05:00:00+00:00,413.69000244140625,401.2049865722656,398.80718994140625,399.2111511230469,402.0871887207031
2026-02-10 05:00:00+00:00,413.3199768066406,412.9267578125,411.5453186035156,411.45172119140625,413.27203369140625
2026-02-11 05:00:00+00:00,404.239990234375,414.2974853515625,412.9039611816406,413.12347412109375,415.02264404296875
2026-02-12 05:00:00+00:00,401.8799743652344,404.88922119140625,404.3514099121094,404.2221984863281,405.26690673828125
