step,v8_5,v9_1,v9_5,aggregate_close
1,428.25885,419.29297,427.01157,425.7271
2,430.51425,418.27896,419.6991,422.94794
3,425.0558,423.6697,424.36563,424.32755
4,419.2122,432.7515,423.5707,424.10904
5,428.1109,427.2454,424.55634,424.8985
6,433.24728,425.34555,426.8192,426.39227
7,431.58966,433.4712,430.35095,428.78613
8,425.2905,432.51422,432.65164,429.60324
9,427.73868,441.5478,424.8187,426.8666
10,432.7172,433.40714,433.6492,429.63272
11,429.24725,430.4003,431.2133,428.92676
12,424.84976,432.16617,428.8594,427.42438
13,425.01025,429.28595,425.93018,425.59363
14,430.59857,418.8162,427.36447,426.0551
15,434.76474,424.63107,428.14304,427.18982
16,433.0091,423.32785,430.16336,428.1071
17,433.04337,432.2707,422.3486,425.35394
18,430.94296,431.24146,428.15607,427.39233
19,433.85443,428.36606,433.56424,430.0738
20,435.00208,430.20676,426.12637,427.33478
21,430.87555,428.37747,425.5901,425.75018
22,430.51352,427.58038,423.58145,424.5442
23,433.54865,427.02542,422.89935,424.33582
24,430.42102,422.24335,427.90924,426.58768
25,429.20087,425.9416,428.3163,426.9891
26,428.79153,430.0464,424.07043,424.8701
27,424.22058,428.8426,431.25577,427.6104
28,431.258,433.95996,421.41412,424.8539
29,433.39908,432.75687,425.26614,426.05197
30,429.99582,430.27524,423.65356,424.73697
31,426.63977,434.42258,424.08118,425.03183
32,422.92197,425.1595,428.50427,426.6001
33,426.70016,418.18008,425.93127,424.93512
34,418.86438,415.14258,424.5158,423.38135
35,414.21664,428.30405,423.9879,423.6817
36,414.9245,432.6538,427.16846,425.81683
37,424.2631,436.25656,430.14334,428.2884
38,427.06305,434.00372,426.88306,426.60117
39,428.10635,435.4741,427.93884,427.36838
40,422.4064,427.29437,428.7486,426.85025
41,432.89743,427.28745,429.03552,427.74484
42,432.71494,429.0738,427.99612,427.27505
43,433.02597,423.59265,427.2163,426.47644
44,433.3798,416.68234,428.64185,426.81577
45,428.58884,423.22495,426.5918,425.79037
46,431.27078,420.6511,426.15564,425.55368
47,426.0092,413.55612,425.99734,424.60007
48,428.24948,412.57748,423.283,423.16837
49,419.57162,413.22787,420.59534,421.10135
50,428.05878,428.91486,423.85126,423.83127
