Open,High,Low,Close
425.17883,426.79837,421.1254,425.7271
428.88416,429.0657,422.53574,422.94794
419.655,425.10757,419.4688,424.32755
421.5631,424.34,421.33218,424.10904
425.26523,426.60156,422.34384,424.8985
424.23846,427.4465,422.68774,426.39227
424.77905,429.03186,423.92944,428.78613
427.61926,430.7056,423.4008,429.60324
430.7546,431.65704,425.99817,426.8666
427.08475,430.23953,418.511,429.63272
429.82224,433.0407,428.49304,428.92676
431.5802,432.17484,425.20984,427.42438
427.44128,432.30173,425.55704,425.59363
424.78864,427.3553,424.2089,426.0551
420.51025,427.89932,420.2318,427.18982
427.36404,429.3289,424.28638,428.1071
432.5836,433.32996,424.41772,425.35394
422.07846,428.8943,421.8351,427.39233
426.7636,430.4107,426.41943,430.0738
433.00867,433.72345,427.18924,427.33478
426.27634,430.5243,425.62537,425.75018
426.31863,426.31863,420.68234,424.5442
424.14157,425.2058,423.2574,424.33582
420.69836,427.01923,420.51376,426.58768
431.77524,432.1451,425.46014,426.9891
426.8356,427.4782,424.19046,424.8701
422.8082,427.94763,421.78574,427.6104
430.80133,431.14178,423.28555,424.8539
424.52386,426.3446,423.98984,426.05197
426.68988,427.6652,422.272,424.73697
424.80936,425.52628,424.29172,425.03183
423.94067,428.7994,421.74136,426.6001
429.02078,429.19583,423.99335,424.93512
424.39517,424.39517,422.80075,423.38135
420.86975,424.18585,420.21436,423.6817
424.75308,425.81683,421.8203,425.81683
425.76584,430.79105,425.56274,428.2884
427.4715,431.89813,425.9325,426.60117
429.76282,430.46896,422.62137,427.36838
423.81934,430.8267,422.75894,426.85025
432.12515,433.40588,426.3252,427.74484
421.6273,427.27676,421.62558,427.27505
427.64474,428.97852,425.62595,426.47644
426.9904,427.24695,426.4954,426.81577
429.25308,434.4501,422.74194,425.79037
427.57632,429.21637,424.70337,425.55368
424.0783,428.15094,422.6646,424.60007
426.26227,426.63623,420.40906,423.16837
422.84985,423.68436,420.7146,421.10135
423.6806,424.65176,420.97604,423.83127
