step,v8_5,v9_2,v9_5,aggregate_close
1,422.19943,424.19806,422.74744,422.81497
2,428.2885,420.4557,419.79663,421.25806
3,430.58798,425.9761,423.70605,425.0786
4,430.0602,423.92383,422.1781,423.6575
5,434.0224,435.22845,430.19376,431.3662
6,437.96088,434.5534,428.89374,430.9914
7,445.9134,443.60718,435.31784,437.95074
