step,v8_5,v9_1,v9_5,aggregate_close
1,421.99088,428.522,428.81613,426.09012
2,427.52682,430.65045,426.35806,426.2654
3,421.59778,426.14072,423.96167,424.8074
4,417.72458,420.85257,419.78372,423.27325
5,416.7731,426.89984,425.39233,424.57617
6,418.45428,431.8262,424.3839,424.60712
7,416.30823,431.08734,424.89316,424.69037
8,416.21555,426.31137,422.49103,423.29996
9,419.60324,427.79086,425.2557,424.65793
10,422.76926,431.83078,425.0469,425.2808
11,418.26785,429.95068,424.08862,424.29742
12,420.1541,426.2487,428.5651,425.77078
13,417.2023,425.93906,425.43292,424.69482
14,416.6558,430.37762,426.92615,425.80347
15,417.20663,434.56207,424.77353,424.92947
16,422.62817,433.76028,423.60596,424.59903
17,426.78088,434.0451,427.31516,426.07278
18,423.4983,432.6201,428.3836,427.2556
19,416.7792,434.86606,424.9263,425.7888
20,419.8776,436.28867,427.65234,426.84946
21,420.95004,433.29633,423.38074,425.36874
22,422.1395,432.75537,429.2234,426.8367
23,420.6373,435.0219,425.22098,425.55188
24,420.2809,433.1633,433.29413,427.11957
25,418.3177,432.00082,428.2406,426.76956
26,412.9687,431.3762,427.0481,425.6836
27,419.17926,427.79257,426.79233,425.72424
28,415.9651,432.97717,425.5401,425.16092
29,420.2726,435.68875,428.8798,426.63336
30,414.68866,433.50024,426.05936,425.401
31,414.41492,430.7888,432.74557,426.93204
32,413.1904,427.17496,427.33264,425.65305
33,411.75708,429.7118,428.03137,426.0329
34,414.37485,424.0103,429.56775,426.67743
35,417.39865,419.54242,424.3918,425.17307
36,418.06833,419.8379,424.707,423.9348
37,415.4922,427.324,425.03848,424.45117
38,414.95438,430.59692,426.3498,425.37695
39,423.06177,432.1642,424.59344,425.07068
40,425.3759,428.04858,424.65247,424.9776
41,420.99133,435.72586,425.05804,425.4352
42,421.1896,437.0863,421.99152,424.07205
43,425.1643,437.5148,425.02945,425.48993
44,425.63745,438.0119,427.65463,426.93854
45,428.03842,434.57086,429.9931,428.3243
46,425.32755,436.37036,421.82056,426.75226
47,426.59412,432.70514,422.97574,425.28278
48,427.3297,433.78006,421.40158,423.92676
49,419.56555,427.48618,425.67883,425.10626
50,419.0846,433.195,423.83154,424.43774
