timestamp,prev_close,step_1_close_mae,step_3_close_mae,step_5_close_mae,step_7_close_mae,direction_hit,regime_name,regime_indicator,temperature
2026-01-16 05:00:00+00:00,456.71,1.4771728515625,16.236968994140625,7.8052978515625,24.021636962890625,1.0,NORMAL,0.0,1.0
2026-01-20 05:00:00+00:00,459.76,7.763427734375,9.122039794921875,13.287017822265625,26.1728515625,0.0,NORMAL,0.0,1.0
2026-01-21 05:00:00+00:00,454.635,13.28485107421875,10.901336669921875,29.665191650390625,17.041778564453125,0.0,NORMAL,0.0,1.0
2026-01-22 05:00:00+00:00,444.0,3.36651611328125,23.96380615234375,39.901519775390625,11.78350830078125,1.0,NORMAL,0.0,1.0
2026-01-23 05:00:00+00:00,450.915,10.737213134765625,29.36871337890625,15.60589599609375,26.44140625,1.0,NORMAL,0.0,1.0
2026-01-26 05:00:00+00:00,465.81,1.4002685546875,16.9228515625,29.67486572265625,49.820526123046875,1.0,NORMAL,0.0,1.0
2026-01-27 05:00:00+00:00,470.3,6.51800537109375,38.643524169921875,45.563079833984375,55.622344970703125,1.0,NORMAL,0.0,1.0
2026-01-28 05:00:00+00:00,480.6,2.46014404296875,51.78497314453125,66.98712158203125,83.02383422851562,1.0,NORMAL,0.0,1.0
2026-01-29 05:00:00+00:00,481.64,51.796417236328125,59.7530517578125,66.680419921875,80.2984619140625,0.0,NORMAL,0.0,1.0
2026-01-30 05:00:00+00:00,433.12,1.323394775390625,13.592498779296875,32.656158447265625,16.446136474609375,1.0,NORMAL,0.0,1.0
2026-02-02 05:00:00+00:00,430.05,9.385986328125,17.293060302734375,29.08673095703125,16.076263427734375,0.0,NORMAL,0.0,1.0
2026-02-03 05:00:00+00:00,423.24,15.51953125,32.126800537109375,10.73931884765625,18.5380859375,0.0,NORMAL,0.0,1.0
2026-02-04 05:00:00+00:00,411.25,0.837890625,14.172332763671875,0.244293212890625,9.983062744140625,1.0,NORMAL,0.0,1.0
2026-02-05 05:00:00+00:00,414.18,23.886932373046875,3.0823974609375,9.343597412109375,10.45135498046875,0.0,NORMAL,0.0,1.0
2026-02-06 05:00:00+00:00,393.65,2.940338134765625,14.32171630859375,4.310455322265625,0.207489013671875,1.0,NORMAL,0.0,1.0
2026-02-09 05:00:00+00:00,401.015,9.7340087890625,0.626678466796875,0.08642578125,0.500762939453125,1.0,NORMAL,0.0,1.0
2026-02-10 05:00:00+00:00,413.69,1.872772216796875,10.364227294921875,11.599700927734375,10.75616455078125,0.0,NORMAL,0.0,1.0
2026-02-11 05:00:00+00:00,413.32,12.711761474609375,12.5877685546875,12.304931640625,15.49237060546875,0.0,NORMAL,0.0,1.0
2026-02-12 05:00:00+00:00,404.24,5.27093505859375,11.98492431640625,8.2056884765625,23.452880859375,0.0,NORMAL,0.0,1.0
2026-02-13 05:00:00+00:00,401.88,4.854522705078125,4.732025146484375,3.51025390625,11.990020751953125,0.0,NORMAL,0.0,1.0
2026-02-17 05:00:00+00:00,401.18,8.912353515625,6.131683349609375,16.600494384765625,0.12176513671875,0.0,NORMAL,0.0,1.0
2026-02-18 05:00:00+00:00,396.76,0.433380126953125,3.11639404296875,8.461273193359375,4.05755615234375,1.0,NORMAL,0.0,1.0
2026-02-19 05:00:00+00:00,399.56,5.028167724609375,16.997039794921875,1.80352783203125,7.644287109375,0.0,NORMAL,0.0,1.0
2026-02-20 05:00:00+00:00,398.41,3.27838134765625,7.844390869140625,6.444915771484375,1.200347900390625,0.0,NORMAL,0.0,1.0
2026-02-23 05:00:00+00:00,397.28,15.52618408203125,3.292816162109375,1.8411865234375,7.693115234375,0.0,NORMAL,0.0,1.0
2026-02-24 05:00:00+00:00,384.635,1.13226318359375,12.779571533203125,10.331390380859375,16.63201904296875,1.0,NORMAL,0.0,1.0
