epoch,train_loss,val_loss,teacher_forcing_ratio,lr
1,0.419354690445794,-0.010184024460613728,1.0,0.0005
2,0.03546909201476309,-0.31860075891017914,1.0,0.0005
3,-0.10428047842449611,-0.45895595848560333,1.0,0.0005
4,-0.14491595990127987,-0.48406073451042175,1.0,0.0005
5,-0.1828790307044983,-0.4777223467826843,1.0,0.0005
6,-0.211240044898457,-0.49257662892341614,1.0,0.0005
7,-0.24366365207566154,-0.5297379493713379,1.0,0.0005
8,-0.2765951454639435,-0.5517567992210388,1.0,0.0005
9,-0.3233315481079949,-0.5735484957695007,1.0,0.0005
10,-0.3763382070594364,-0.6119075119495392,1.0,0.0005
11,-0.42471489641401505,-0.6311995983123779,1.0,0.0005
12,-0.47285964091618854,-0.6723935902118683,1.0,0.0005
13,-0.5176616079277463,-0.702347069978714,1.0,0.0005
14,-0.5636310246255662,-0.7287168204784393,1.0,0.0005
15,-0.5911471313900418,-0.7529762089252472,1.0,0.0005
16,-0.6236258745193481,-0.7772510647773743,1.0,0.0005
17,-0.6455286277665032,-0.7933683395385742,1.0,0.0005
18,-0.6628589034080505,-0.8152551352977753,1.0,0.0005
19,-0.6869657039642334,-0.8255572617053986,1.0,0.0005
20,-0.7049211528566148,-0.847092479467392,1.0,0.0005
21,-0.728025131755405,-0.8605632185935974,1.0,0.0005
22,-0.7385754717720879,-0.8770422637462616,1.0,0.0005
23,-0.757360577583313,-0.8908790051937103,1.0,0.0005
24,-0.7611589630444845,-0.8976593911647797,1.0,0.0005
25,-0.7834376825226678,-0.9151914715766907,1.0,0.0005
26,-0.793770776854621,-0.9241727590560913,1.0,0.0005
27,-0.8107498354381986,-0.9413552284240723,1.0,0.0005
28,-0.8271448148621453,-0.9463900029659271,1.0,0.0005
29,-0.8398520946502686,-0.9588877558708191,1.0,0.0005
30,-0.8540705309973823,-0.9729773104190826,1.0,0.0005
31,-0.8622405661476983,-0.9838447272777557,1.0,0.0005
32,-0.8731808331277635,-0.9852443337440491,1.0,0.0005
33,-0.8811206817626953,-1.005302608013153,1.0,0.0005
34,-0.8929698732164171,-1.0086187720298767,1.0,0.0005
35,-0.9066634178161621,-1.0149202346801758,1.0,0.0005
36,-0.9111941655476888,-1.0252038836479187,1.0,0.0005
37,-0.9127555953131782,-1.0259073376655579,1.0,0.0005
38,-0.922625270154741,-1.042190432548523,1.0,0.0005
39,-0.9355727963977389,-1.0406302213668823,1.0,0.0005
40,-0.9374619788593717,-1.0531095266342163,1.0,0.0005
41,-0.9488014512591891,-1.0555611848831177,1.0,0.0005
42,-0.9583396712938944,-1.0671051144599915,1.0,0.0005
43,-0.9569083187315199,-1.0665783882141113,1.0,0.0005
44,-0.9656978580686781,-1.0699462890625,1.0,0.0005
45,-0.9683080448044671,-1.079252004623413,1.0,0.0005
46,-0.9740873244073656,-1.0814144611358643,1.0,0.0005
47,-0.9867649012141757,-1.089170753955841,1.0,0.0005
48,-0.9759668840302361,-1.0835646986961365,1.0,0.0005
49,-0.9849119583765665,-1.0918136239051819,1.0,0.0005
50,-0.9936526285277473,-1.106199562549591,1.0,0.0005
51,-1.0041290058030024,-1.103493571281433,1.0,0.0005
52,-1.0017821788787842,-1.1074254512786865,1.0,0.0005
53,-1.0127570033073425,-1.1040818095207214,1.0,0.0005
54,-1.0132030646006267,-1.1104617714881897,1.0,0.0005
55,-1.014769368701511,-1.1246119141578674,1.0,0.0005
56,-1.0171837541792128,-1.1138582825660706,1.0,0.0005
57,-1.0297409296035767,-1.1219334602355957,1.0,0.0005
58,-1.0290787484910753,-1.1126715540885925,1.0,0.0005
59,-1.032495551639133,-1.1267226934432983,1.0,0.0005
60,-1.036620683140225,-1.128063678741455,1.0,0.0005
