Open,High,Low,Close
420.665,420.7209,415.3705,419.57968
416.37265,420.68542,416.37265,419.01517
418.6512,420.12924,416.8281,416.88455
417.31415,418.72272,413.94208,413.94208
415.93307,416.6338,414.21414,415.97598
411.65204,415.99048,411.49313,415.99048
419.05426,419.09854,412.11624,416.0106
417.92,418.76413,414.36264,414.36264
411.14752,416.2936,410.67737,416.2936
421.13034,422.78513,415.42523,417.08
413.3745,416.69397,412.3075,415.62695
416.93765,420.16443,415.0065,418.1533
418.6459,418.6459,416.4634,416.4634
416.50632,417.21176,416.50632,417.17722
413.5492,415.78543,413.35452,415.78543
417.39713,417.39713,415.68185,415.8997
415.70126,418.40576,413.6989,418.40576
421.2987,422.1734,419.52237,419.52237
418.60452,419.80826,416.88254,416.88254
414.50427,418.27765,412.237,418.2721
418.55585,419.30887,415.3412,416.0942
412.49228,418.8462,412.39008,418.8462
418.1505,418.32318,416.29785,417.0642
418.73465,421.05594,415.14453,420.6929
421.47824,422.80942,418.86288,418.86288
416.87698,418.12582,416.50592,417.06168
417.7708,418.42484,416.44882,417.65787
420.31665,420.31665,414.3703,416.24426
412.63046,418.62607,412.63046,418.62607
421.9875,422.18024,416.71527,416.79388
414.52045,420.32733,414.52045,419.85107
423.41888,423.9262,417.27438,417.6806
412.59537,417.60355,412.59537,417.3354
421.2449,421.33395,415.265,418.82
418.38977,420.3277,415.6201,416.4591
416.9544,416.98816,414.77478,416.08847
415.04144,416.2244,414.69412,415.87708
414.92102,418.41266,411.81778,416.71268
415.3813,418.12094,413.61353,416.8792
416.01938,420.14258,415.98642,417.39514
421.66458,421.66458,416.93835,416.93835
414.16272,419.60242,412.4123,415.09326
418.0927,419.0145,416.2263,417.14804
414.37704,419.18402,414.37704,419.18402
418.00723,421.23444,415.60565,421.23444
423.54666,425.5672,416.319,417.441
414.3334,417.18256,414.3334,416.5491
417.03757,418.3297,414.20816,415.6112
416.68484,418.44458,415.43558,417.1953
415.89243,417.65143,411.82257,415.83704
