anchor_timestamp,anchor_prev_close,aggregate_regime_indicator,aggregate_regime_name,aggregate_soft_swing_cap,direction_hit,path_mae,step_1_close_mae,step_5_close_mae,step_10_close_mae,step_15_close_mae
2026-04-20 13:36:00+00:00,422.0,0.0,NORMAL,3.535499999999919,0.0,2.1982476711273193,1.618438720703125,2.9810791015625,4.623992919921875,3.1568603515625
2026-04-20 13:37:00+00:00,420.3900146484375,0.0,NORMAL,4.60200000000023,1.0,2.0879058837890625,0.77935791015625,1.839202880859375,2.166168212890625,0.237060546875
2026-04-20 13:38:00+00:00,420.30999755859375,0.0,NORMAL,4.60200000000023,1.0,2.1006462574005127,0.109771728515625,1.430084228515625,2.86065673828125,0.30548095703125
2026-04-20 13:39:00+00:00,419.04998779296875,0.0,NORMAL,4.8464999999997005,1.0,4.429071426391602,0.908172607421875,3.490325927734375,3.42694091796875,0.023193359375
2026-04-20 13:40:00+00:00,417.9700012207031,0.0,NORMAL,5.186999999999749,1.0,5.057106971740723,0.78216552734375,3.400390625,3.86871337890625,0.588470458984375
2026-04-20 13:41:00+00:00,418.2900085449219,0.0,NORMAL,5.186999999999749,0.0,6.08814811706543,1.2955322265625,2.285064697265625,0.3011474609375,4.368194580078125
2026-04-20 13:42:00+00:00,417.42999267578125,0.0,NORMAL,5.187000000000073,1.0,7.3662567138671875,0.080291748046875,4.560577392578125,0.80230712890625,5.717376708984375
2026-04-20 13:43:00+00:00,417.6600036621094,0.0,NORMAL,5.187000000000073,0.0,7.878331184387207,0.30810546875,3.245941162109375,1.65924072265625,6.7042236328125
2026-04-20 13:44:00+00:00,417.4800109863281,0.0,NORMAL,5.187000000000073,0.0,6.359848499298096,1.79150390625,1.36181640625,0.075897216796875,4.860015869140625
2026-04-20 13:45:00+00:00,417.32000732421875,0.0,NORMAL,5.187000000000073,1.0,7.902892589569092,1.005645751953125,3.3995361328125,2.059783935546875,6.88299560546875
2026-04-20 13:46:00+00:00,418.6300048828125,0.0,NORMAL,5.738999999999928,1.0,6.422945499420166,0.58868408203125,2.0013427734375,1.17156982421875,6.09130859375
2026-04-20 13:47:00+00:00,418.739990234375,0.0,NORMAL,5.738999999999928,0.0,6.524226665496826,1.173248291015625,2.115386962890625,1.338409423828125,6.141387939453125
2026-04-20 13:48:00+00:00,418.07000732421875,0.0,NORMAL,5.738999999999928,0.0,6.512763500213623,1.08441162109375,2.917144775390625,1.501373291015625,6.72711181640625
2026-04-20 13:49:00+00:00,418.0249938964844,0.0,NORMAL,5.738999999999928,1.0,6.356475830078125,0.2752685546875,3.283447265625,2.470672607421875,6.16705322265625
2026-04-20 13:50:00+00:00,418.1600036621094,0.0,NORMAL,5.738999999999928,1.0,6.2999773025512695,0.0902099609375,3.524749755859375,2.15008544921875,6.304901123046875
