step,v8_5,v9_1,v9_5,aggregate_close
1,431.20316,442.33914,436.89294,433.08185
2,426.90775,438.9455,433.74448,433.20712
3,433.64224,436.7379,430.6167,432.4583
4,428.63254,438.30725,425.37875,431.70367
5,441.64996,449.26895,432.62286,432.4319
6,436.32187,448.25986,431.36154,433.17822
7,445.9893,444.33395,432.10373,433.9262
8,447.4805,445.86612,428.92896,433.1788
9,446.7513,451.632,432.4674,433.92685
10,444.4973,454.5627,432.13254,434.6289
11,446.6252,454.39764,430.8708,434.05975
12,442.1034,450.84583,436.61557,434.8104
13,448.00385,451.0362,432.4522,434.80655
14,442.90262,452.51593,434.38507,435.156
15,439.26788,457.4434,431.6734,434.80127
16,442.49252,462.0301,430.1324,434.05325
17,440.68176,457.38788,434.86816,434.80145
18,442.29282,458.53455,436.3272,435.511
19,445.49698,459.8416,431.85574,434.9134
20,443.95975,460.82806,435.3552,435.66165
21,454.83963,456.45255,429.84802,434.91785
22,447.08945,457.6132,437.51953,435.6692
23,446.7517,455.74136,432.2858,434.95505
24,450.3063,453.23965,442.82028,435.71066
25,442.96942,453.0425,436.3238,436.4403
26,446.53986,453.73752,434.7745,436.19363
27,441.9356,451.48856,434.50522,435.5631
28,444.37546,445.35342,432.82895,434.81467
29,448.02933,448.3457,437.28226,435.5632
30,452.29694,455.2244,433.646,436.06876
31,442.1388,450.36667,442.4938,436.82126
32,446.79895,454.05765,435.43222,436.6025
33,450.3613,460.82993,436.33685,437.2587
34,449.42136,450.0801,438.2942,437.27438
35,439.20172,454.33752,431.5551,437.21033
36,450.5729,449.17386,432.00943,436.54285
37,442.9559,451.57162,432.4477,435.7931
38,445.96005,456.08368,434.23047,436.01263
39,455.93472,446.74863,431.96103,435.26413
40,451.89853,446.4681,432.03012,434.52304
41,447.07098,447.31723,432.53702,434.5284
42,440.53543,444.5952,428.56573,433.77744
43,443.9379,439.23297,432.50888,433.72745
44,439.44736,443.37402,435.98175,434.477
45,435.98865,453.93875,439.04355,435.23154
46,433.9289,450.7744,428.45135,434.49234
47,438.41528,457.0302,429.951,433.74368
48,443.28882,454.524,427.9014,432.99258
49,434.34384,454.10556,433.498,433.73105
50,437.30045,448.65936,431.1304,433.1507
