step,v8_5,v9_1,v9_5,aggregate_close
1,411.90347,412.59927,417.78418,416.70874
2,411.2337,411.08167,415.71356,415.11478
3,411.3549,411.01837,422.65857,419.84232
4,409.07727,408.78113,417.7921,416.14935
5,410.85342,410.1183,413.6658,413.6081
6,411.7791,411.20834,422.5703,419.83447
7,411.54895,411.13022,425.9281,422.09158
8,406.84235,406.66785,422.38983,418.9062
9,409.83728,409.03745,419.02383,417.07333
10,404.74402,404.4334,415.54333,413.8823
11,399.8825,399.07303,414.76886,412.4868
12,404.86557,403.1442,412.86255,411.9601
13,399.9558,398.89774,410.41937,409.5205
14,405.66193,403.90866,413.45908,412.49844
15,402.2193,401.22113,410.13596,409.71765
16,406.04254,404.37958,412.06973,411.62604
17,400.93488,399.65753,412.9919,411.4176
18,408.45554,406.5674,414.5216,413.6844
19,400.65665,399.54224,413.98325,412.0583
20,404.46964,402.2646,410.5713,410.29364
21,414.46872,412.853,415.6905,415.52463
22,408.1135,408.32367,416.7019,415.2872
23,409.65353,409.22034,413.36148,413.22284
24,415.27225,414.97174,410.40512,412.179
25,417.9475,418.79358,410.88208,413.05554
26,425.37634,426.42648,410.36057,413.9812
27,415.20285,417.64633,417.09738,416.95117
28,416.50513,417.5512,411.96344,413.5627
29,415.50464,416.64157,411.24048,412.90872
30,411.72247,412.53543,410.57983,411.78894
31,416.91928,417.05746,413.6978,414.7353
32,412.62958,413.493,410.5792,411.94702
33,404.42828,404.7315,412.23178,411.62897
34,406.62933,406.0575,408.98477,409.7208
35,402.67303,402.14932,414.68695,412.92978
36,408.08118,406.70367,420.03107,417.4106
37,409.6666,409.35345,424.96307,421.12436
38,406.6394,406.60922,421.79044,418.47638
39,410.55386,410.2667,408.8231,410.30222
40,410.087,410.1884,412.79688,412.95807
41,409.90668,410.18198,414.79572,414.3014
42,406.02002,406.11304,421.0747,417.89484
43,407.6514,407.16125,415.8357,414.5601
44,404.28598,403.77982,412.17987,411.50067
45,398.6285,397.87946,417.9223,414.4231
46,403.42368,401.541,422.55826,418.29434
47,407.25342,406.1489,416.7836,415.0848
48,410.11038,409.5506,417.87393,416.35822
49,409.18942,408.9846,416.63968,415.39252
50,403.9684,403.59006,416.18915,414.18384
