Open,High,Low,Close
413.32825,417.1298,412.90723,416.70874
421.1355,421.1355,415.11478,415.11478
412.88412,419.84232,412.62708,419.84232
417.35086,423.10187,416.14935,416.14935
415.01596,416.86475,412.5781,413.6081
418.28043,420.0419,411.27228,419.83447
424.31482,425.53708,421.45605,422.09158
417.65247,423.45654,415.8072,418.9062
422.68597,423.52438,415.71167,417.07333
414.7511,418.3367,413.8823,413.8823
415.57062,415.57062,412.24316,412.4868
411.08734,414.01666,408.19403,411.9601
413.19577,413.19577,409.5205,409.5205
406.02368,412.49844,406.02368,412.49844
414.13943,414.4108,409.71765,409.71765
411.12094,412.53864,408.27615,411.62604
411.6333,413.96545,408.96255,411.4176
410.8543,413.6844,410.8543,413.6844
418.4015,422.18365,411.97607,412.0583
410.2739,411.0339,408.22476,410.29364
410.68478,415.52463,409.2322,415.52463
410.8269,416.33728,409.77686,415.2872
418.9898,418.9898,412.44937,413.22284
414.963,416.0401,409.53934,412.179
406.15146,413.05554,406.15146,413.05554
417.92285,418.60474,411.15854,413.9812
415.85147,418.69974,414.1029,416.95117
416.32968,416.32968,412.91434,413.5627
415.01465,415.10553,409.08997,412.90872
413.23184,419.50262,411.78894,411.78894
406.0001,414.7353,405.5196,414.7353
419.8752,419.8752,411.94702,411.94702
411.3139,413.97223,409.1217,411.62897
412.26605,413.1015,407.24823,409.7208
412.0984,414.79996,410.2282,412.92978
411.00812,417.5573,410.1845,417.4106
415.89603,421.12436,413.32837,421.12436
424.46802,424.46802,416.56293,418.47638
416.6433,421.8941,408.26337,410.30222
411.40967,413.652,408.95444,412.95807
414.9934,415.84445,411.42386,414.3014
414.54724,418.7149,411.69656,417.89484
415.62988,421.3218,413.3726,414.5601
411.35385,412.74796,410.791,411.50067
417.48068,417.48068,408.65018,414.4231
413.29944,420.79895,412.74567,418.29434
419.20758,420.22174,414.41302,415.0848
416.65823,416.65823,413.88235,416.35822
413.34082,422.54462,413.34082,415.39252
407.49915,414.62457,407.03918,414.18384
