metric,value
prediction_count,60.0
directional_hit_rate_t1,0.35
aggregate_path_mae,16.394187243779502
aggregate_path_ohlc_mae,15.293231236934663
aggregate_path_range_mae,4.11786920428276
aggregate_step_1_ohlc_mae,5.663745625813802
aggregate_step_1_range_mae,4.940914408365885
aggregate_horizon_ohlc_mae,22.186724344889324
aggregate_step_1_close_mae,7.228278096516927
aggregate_step_3_close_mae,14.581516520182292
aggregate_step_5_close_mae,19.69403584798177
aggregate_step_7_close_mae,23.170784505208335
