anchor_timestamp,anchor_prev_close,aggregate_regime_indicator,aggregate_regime_name,aggregate_soft_swing_cap,aggregate_t1_temporal_cap,aggregate_t1_direction_vote,aggregate_t1_momentum_sign,direction_hit,path_mae,path_ohlc_mae,path_range_mae,step_1_ohlc_mae,step_1_range_mae,horizon_ohlc_mae,step_1_close_mae,step_3_close_mae,step_5_close_mae,step_7_close_mae
2026-01-21 05:00:00+00:00,454.635009765625,0.0,NORMAL,,,0.0,0.0,0.0,15.688934326171875,14.2532958984375,6.765498638153076,8.314445495605469,6.72821044921875,26.057579040527344,12.70184326171875,6.378265380859375,21.23602294921875,27.870147705078125
2026-01-22 05:00:00+00:00,444.0,0.1614087619679748,NORMAL,,,0.0,0.0,0.0,22.182058334350586,19.966543197631836,5.5708441734313965,5.991279602050781,1.45538330078125,11.546783447265625,9.532440185546875,26.209930419921875,36.169097900390625,13.308990478515625
2026-01-23 05:00:00+00:00,450.9150085449219,0.1614087619679748,NORMAL,,,0.0,0.0,0.0,24.20266342163086,21.290449142456055,5.5295233726501465,9.487762451171875,10.4869384765625,28.76750946044922,16.558074951171875,27.28948974609375,21.727874755859375,32.993438720703125
2026-01-26 05:00:00+00:00,465.80999755859375,0.1614087619679748,NORMAL,,,0.0,0.0,0.0,28.20744514465332,25.47480583190918,4.661472797393799,2.99725341796875,0.9169921875,48.964935302734375,5.863616943359375,17.15087890625,33.185089111328125,54.035186767578125
2026-01-27 05:00:00+00:00,470.29998779296875,0.0,NORMAL,,,0.0,0.0,1.0,36.60720443725586,34.57589340209961,4.39556884765625,7.379852294921875,0.291107177734375,58.738250732421875,10.2427978515625,34.7158203125,46.503875732421875,57.273101806640625
2026-01-28 05:00:00+00:00,480.6000061035156,0.1614087619679748,NORMAL,,,0.0,0.0,1.0,59.05447006225586,56.11908721923828,5.9855217933654785,2.2813186645507812,3.26739501953125,85.16087341308594,2.40374755859375,54.592559814453125,76.28802490234375,91.289794921875
2026-01-29 05:00:00+00:00,481.6400146484375,0.0,NORMAL,,,0.0,0.0,1.0,65.39195251464844,63.3172492980957,5.9373297691345215,47.23455047607422,15.475616455078125,80.50363159179688,48.2894287109375,58.2872314453125,68.34146118164062,77.10824584960938
2026-01-30 05:00:00+00:00,433.1199951171875,0.3228175239359496,NORMAL,,,0.0,0.0,1.0,7.5026116371154785,8.231645584106445,3.337581157684326,3.25054931640625,1.700836181640625,8.799819946289062,1.1461181640625,9.5283203125,19.249420166015625,4.624725341796875
2026-02-02 05:00:00+00:00,430.04998779296875,0.1614087619679748,NORMAL,,,0.0,0.0,1.0,16.54520606994629,15.553023338317871,3.873844623565674,3.4888229370117188,9.74072265625,8.112068176269531,1.9947509765625,12.739471435546875,24.7904052734375,13.887786865234375
2026-02-03 05:00:00+00:00,423.239990234375,0.1614087619679748,NORMAL,,,0.0,0.0,0.0,18.789642333984375,17.146800994873047,2.459681987762451,9.276725769042969,2.019134521484375,15.947563171386719,14.753814697265625,32.857330322265625,11.48858642578125,19.91925048828125
2026-02-04 05:00:00+00:00,411.25,0.1614087619679748,NORMAL,,,0.0,0.0,1.0,6.675087928771973,7.387003421783447,3.9018075466156006,2.12384033203125,6.32427978515625,7.586906433105469,1.249481201171875,8.53009033203125,0.42578125,8.12457275390625
2026-02-05 05:00:00+00:00,414.17999267578125,0.1614087619679748,NORMAL,,,0.0,0.0,0.0,19.31093406677246,16.861692428588867,4.550864219665527,17.04345703125,4.799468994140625,25.965309143066406,24.50189208984375,4.906280517578125,23.20318603515625,29.192169189453125
2026-02-06 05:00:00+00:00,393.6499938964844,0.3228175239359496,NORMAL,,,0.0,0.0,1.0,6.284824848175049,7.862372398376465,6.4023003578186035,6.303749084472656,10.673492431640625,6.65704345703125,5.368194580078125,10.988739013671875,1.59613037109375,7.217620849609375
