step,v8_5,v9_1,v9_2,v9_5,aggregate_close
1,414.98956,414.45212,431.99893,423.09167,420.7802
2,421.90878,420.28278,425.4344,420.24023,421.66357
3,414.7466,413.81766,424.44025,417.51526,417.3065
4,410.18304,408.26263,426.86063,412.9001,413.86755
5,408.95657,406.48816,438.89102,419.2466,417.50793
6,410.72586,407.85934,435.43552,418.08752,417.2099
7,408.14655,405.37918,430.60556,418.7289,415.1985
8,407.91156,404.74466,433.30923,415.9287,414.65552
9,411.64474,408.16528,439.84235,419.04196,418.67743
10,415.144,412.1517,442.00317,418.71954,420.85782
11,409.92615,407.43872,441.0036,417.5885,417.8911
12,411.98315,408.79733,436.8034,422.61557,419.41357
13,408.55112,405.78098,437.7237,418.9678,416.906
14,407.85806,404.46655,439.72598,420.64175,417.3198
15,408.4204,404.6553,444.22604,418.29428,417.67636
16,414.52737,410.90833,448.2283,416.9165,421.0854
17,419.20276,416.30798,442.3347,421.11588,423.67712
18,415.4191,413.5909,444.27563,422.33527,422.8841
19,407.73853,405.4364,445.35388,418.4426,418.01312
20,411.2186,407.69586,446.4802,421.5307,420.56592
21,412.40378,409.46442,440.93088,416.67688,418.6841
22,413.72424,411.00162,443.61395,423.42096,422.01428
23,411.99026,409.64157,441.5214,418.81436,419.42175
24,411.56,409.21326,438.83215,428.0359,421.51855
25,409.30722,406.79846,439.51855,422.32404,418.74615
26,403.22012,400.52634,440.60748,420.9521,415.5141
27,410.24197,406.62274,437.7786,420.72162,418.05582
28,406.57764,403.82227,431.27463,419.2575,414.73264
29,411.4486,408.28156,435.90222,423.11313,419.12906
30,405.1,402.771,443.1196,419.90616,416.71646
31,404.77368,401.36646,436.6435,427.6326,417.3448
32,403.37402,399.78983,441.81683,421.4347,415.74103
33,401.7399,398.0616,448.48874,422.17075,416.4901
34,404.69263,400.73547,434.76498,423.90747,415.62576
35,408.1109,404.71802,441.29385,417.96585,416.93268
36,408.86017,405.78986,434.91302,418.34528,416.2162
37,405.92996,403.14127,438.77512,418.7122,415.752
38,405.30978,401.93002,443.27585,420.2781,416.68048
39,414.5017,411.12936,431.67633,418.26694,418.21646
40,417.12656,414.98947,433.64847,418.32428,420.25134
41,412.1346,410.65414,434.89276,418.7536,418.37134
42,412.3492,410.3098,431.63095,415.2248,416.57596
43,416.85867,415.0009,425.91623,418.6667,418.74133
44,417.389,416.23877,432.3539,421.6779,421.4225
45,420.11234,418.78406,443.4148,424.35333,425.76538
46,417.02133,416.43228,437.70963,415.0419,420.42523
47,418.45282,417.69345,445.19858,416.33963,422.9917
48,419.28073,418.7719,441.11307,414.50568,422.07343
49,410.4492,410.3077,440.9586,419.40942,419.33698
50,409.8931,408.66293,434.6083,417.32095,416.84265
