Open,High,Low,Close
424.16467,424.51184,417.8117,420.7802
416.14178,424.33453,414.2968,421.66357
422.90436,424.04468,416.8143,417.3065
414.66687,420.91266,412.07184,413.86755
418.2544,419.61914,413.6192,417.50793
410.40454,418.4098,410.32812,417.2099
418.2306,420.49384,411.91028,415.1985
420.02374,420.44434,413.6501,414.65552
409.3736,418.67743,407.93707,418.67743
417.77478,423.73746,414.89514,420.85782
419.97662,422.2779,416.23468,417.8911
419.57123,421.3227,415.01196,419.41357
419.46417,421.33905,414.23297,416.906
417.26727,417.93466,416.74365,417.3198
412.9985,419.64618,411.8221,417.67636
421.9515,421.97345,419.16742,421.0854
420.2693,424.47482,417.01898,423.67712
421.7046,430.52863,419.69916,422.8841
420.91937,421.75998,417.5453,418.01312
415.31552,422.45795,412.76245,420.56592
420.22586,422.68048,416.2295,418.6841
415.16336,422.01428,414.076,422.01428
419.46945,420.8787,416.97168,419.42175
421.4576,422.6128,417.93915,421.51855
421.70526,423.03296,418.41306,418.74615
415.72733,418.8634,414.57126,415.5141
418.8557,420.9532,414.75482,418.05582
421.02832,421.18787,413.80267,414.73264
412.57703,419.49265,412.14728,419.12906
419.5348,421.35297,413.95575,416.71646
416.28748,421.48285,413.82373,417.3448
415.96512,419.7709,412.31644,415.74103
411.17383,417.30054,411.17383,416.4901
420.06116,422.64954,410.28787,415.62576
413.686,418.87222,412.29474,416.93268
417.92108,418.46722,413.63422,416.2162
415.5578,416.7943,414.51544,415.752
419.67487,422.0465,409.90326,416.68048
415.33936,421.27145,412.02405,418.21646
416.266,421.6208,416.21893,420.25134
422.18005,424.1408,416.62137,418.37134
415.07983,423.34464,411.5879,416.57596
418.17514,421.1893,414.56982,418.74133
414.50543,421.4225,414.50543,421.4225
421.97968,425.76538,414.0724,425.76538
422.32462,429.38083,416.78754,420.42523
417.6324,424.96942,417.6324,422.9917
424.65793,428.87442,416.89896,422.07343
420.09744,423.24628,416.1882,419.33698
418.67377,421.34137,412.7812,416.84265
