expert,version,lookback,feature_mode,architecture,weight
v8_5,v8.5,64,core,gru,0.2178821878899141
v9_1,v9.1,160,technical,gru,0.27129363142680357
v9_2,v9.2,256,regime,gru,0.2018211210016388
v9_5,v9.5,256,core,gru_rag,0.30900305968164365
