anchor_timestamp,anchor_prev_close,aggregate_regime_indicator,aggregate_regime_name,aggregate_soft_swing_cap,aggregate_t1_temporal_cap,aggregate_t1_direction_vote,aggregate_t1_momentum_sign,direction_hit,path_mae,step_1_close_mae,step_3_close_mae,step_5_close_mae,step_7_close_mae
2026-01-16 05:00:00+00:00,456.7099914550781,0.0,NORMAL,22.964849999999995,16.585724999999996,0.7831953146111289,-1.0,1.0,11.722037315368652,0.02069091796875,16.59466552734375,13.027801513671875,27.263458251953125
2026-01-20 05:00:00+00:00,459.760009765625,0.0,NORMAL,22.964849999999995,16.585724999999996,0.7831953146111289,-1.0,0.0,16.104990005493164,6.8717041015625,9.515106201171875,16.99774169921875,28.41888427734375
2026-01-21 05:00:00+00:00,454.635009765625,0.0,NORMAL,22.964849999999995,16.585724999999996,0.4558259217088292,-1.0,1.0,18.87759780883789,10.3214111328125,10.56866455078125,35.120880126953125,12.513275146484375
2026-01-22 05:00:00+00:00,444.0,0.05420117134721778,NORMAL,22.964849999999995,16.585724999999996,0.4558259217088292,-1.0,1.0,21.181692123413086,6.121612548828125,23.3468017578125,44.860321044921875,7.214080810546875
2026-01-23 05:00:00+00:00,450.9150085449219,0.05420117134721778,NORMAL,22.964849999999995,16.585724999999996,0.4558259217088292,-1.0,1.0,20.653573989868164,13.902008056640625,28.60113525390625,10.01263427734375,20.993927001953125
2026-01-26 05:00:00+00:00,465.80999755859375,0.05420117134721778,NORMAL,22.964849999999995,16.585724999999996,0.4558259217088292,1.0,1.0,23.585615158081055,4.37664794921875,15.93206787109375,24.66339111328125,44.716339111328125
2026-01-27 05:00:00+00:00,470.29998779296875,0.0,NORMAL,22.964849999999995,16.585724999999996,0.4558259217088292,1.0,1.0,34.4502067565918,9.5040283203125,39.3262939453125,39.992279052734375,50.56494140625
2026-01-28 05:00:00+00:00,480.6000061035156,0.05420117134721778,NORMAL,22.964849999999995,16.585724999999996,0.4558259217088292,1.0,1.0,49.10717010498047,0.46929931640625,52.782623291015625,61.583770751953125,78.54913330078125
2026-01-29 05:00:00+00:00,481.6400146484375,0.0,NORMAL,22.964849999999995,16.585724999999996,0.6726306070977003,1.0,0.0,63.0427131652832,49.187042236328125,61.121826171875,61.608367919921875,76.06890869140625
2026-01-30 05:00:00+00:00,433.1199951171875,0.10840234269443556,NORMAL,23.516100000000026,16.98385000000002,-0.4558259217088292,-1.0,0.0,26.27676010131836,35.172332763671875,34.52642822265625,34.3204345703125,12.80426025390625
