timestamp,prev_close,step_1_close_mae,step_3_close_mae,step_5_close_mae,step_7_close_mae,path_close_mae,path_ohlc_mae,path_range_mae,step_1_ohlc_mae,step_1_range_mae,direction_hit,regime_name,regime_indicator,temperature
2026-01-21 05:00:00+00:00,454.635,16.29888916015625,12.03082275390625,16.803314208984375,33.003814697265625,16.890825271606445,15.012652397155762,4.4274163246154785,9.960289001464844,7.147857666015625,0.0,NORMAL,0.0,1.0
2026-01-22 05:00:00+00:00,444.0,2.943206787109375,3.53936767578125,4.13421630859375,60.361785888671875,21.14174461364746,20.7396240234375,10.666010856628418,5.532234191894531,16.5733642578125,1.0,ELEVATED,0.5,1.3
2026-01-23 05:00:00+00:00,450.915,16.62298583984375,42.644866943359375,13.9677734375,14.650360107421875,24.999956130981445,24.38697624206543,7.836525917053223,13.799636840820312,1.236083984375,0.0,ELEVATED,0.5,1.3
2026-01-26 05:00:00+00:00,465.81,3.43408203125,13.883056640625,41.14007568359375,85.12435913085938,32.11297607421875,27.518489837646484,9.278059005737305,2.2766647338867188,5.143310546875,1.0,ELEVATED,0.5,1.3
2026-01-27 05:00:00+00:00,470.3,14.753265380859375,39.302093505859375,52.6357421875,65.9820556640625,43.53749465942383,38.87383270263672,6.771065711975098,7.314239501953125,10.4053955078125,0.0,NORMAL,0.0,1.0
2026-01-28 05:00:00+00:00,480.6,7.617340087890625,42.044525146484375,46.941558837890625,80.51556396484375,44.19123458862305,43.66400146484375,7.614990234375,6.546897888183594,2.0919189453125,1.0,ELEVATED,0.5,1.3
2026-01-29 05:00:00+00:00,481.64,45.800048828125,54.524810791015625,67.1630859375,78.42926025390625,64.66206359863281,63.18467330932617,5.555899620056152,46.69104766845703,7.56597900390625,1.0,NORMAL,0.0,1.0
2026-01-30 05:00:00+00:00,433.12,9.767486572265625,31.63104248046875,60.72918701171875,61.299591064453125,43.03860092163086,42.48725128173828,13.902823448181152,10.247177124023438,17.885467529296875,0.0,CRISIS,1.0,1.8
2026-02-02 05:00:00+00:00,430.05,3.92071533203125,20.21417236328125,24.844940185546875,0.924896240234375,18.606170654296875,19.58401107788086,7.6344170570373535,4.5855255126953125,0.945404052734375,1.0,ELEVATED,0.5,1.3
2026-02-03 05:00:00+00:00,423.24,5.254608154296875,18.84295654296875,7.725799560546875,44.88916015625,18.026309967041016,14.979597091674805,6.4180474281311035,3.5033798217773438,8.356719970703125,1.0,ELEVATED,0.5,1.3
2026-02-04 05:00:00+00:00,411.25,16.022125244140625,9.92535400390625,18.150299072265625,21.87738037109375,15.971199989318848,13.680497169494629,8.347895622253418,9.060234069824219,16.47503662109375,0.0,ELEVATED,0.5,1.3
2026-02-05 05:00:00+00:00,414.18,24.83624267578125,16.307586669921875,33.3489990234375,58.57501220703125,33.53204345703125,28.61432456970215,7.479771137237549,15.981529235839844,10.93109130859375,0.0,ELEVATED,0.5,1.3
2026-02-06 05:00:00+00:00,393.65,4.860809326171875,16.730377197265625,30.91741943359375,23.684295654296875,23.23122215270996,22.99349021911621,17.243520736694336,13.3212890625,27.603851318359375,1.0,CRISIS,1.0,1.8
2026-02-09 05:00:00+00:00,401.015,12.0233154296875,8.51873779296875,18.0526123046875,2.498321533203125,11.05620002746582,11.094879150390625,9.64430046081543,5.3778533935546875,1.579620361328125,1.0,ELEVATED,0.5,1.3
2026-02-10 05:00:00+00:00,413.69,13.908721923828125,28.977325439453125,18.092193603515625,30.1866455078125,23.856130599975586,20.96901512145996,5.568538188934326,6.105613708496094,2.855682373046875,0.0,ELEVATED,0.5,1.3
2026-02-11 05:00:00+00:00,413.32,10.373260498046875,14.624603271484375,1.24383544921875,28.013824462890625,12.67112922668457,10.457785606384277,6.293060302734375,8.830192565917969,2.447509765625,0.0,ELEVATED,0.5,1.3
2026-02-12 05:00:00+00:00,404.24,1.10455322265625,11.517547607421875,23.39013671875,38.80841064453125,17.936967849731445,15.872099876403809,8.260170936584473,1.7455978393554688,0.714324951171875,1.0,ELEVATED,0.5,1.3
2026-02-13 05:00:00+00:00,401.88,2.642669677734375,0.69891357421875,2.175384521484375,26.831573486328125,9.503239631652832,9.585028648376465,12.454328536987305,3.6589126586914062,11.53594970703125,0.0,ELEVATED,0.5,1.3
2026-02-17 05:00:00+00:00,401.18,3.70611572265625,4.98046875,5.58233642578125,27.472412109375,13.179931640625,10.045613288879395,9.62598991394043,4.866447448730469,12.91070556640625,1.0,ELEVATED,0.5,1.3
2026-02-18 05:00:00+00:00,396.76,12.2933349609375,13.280853271484375,43.546234130859375,43.18292236328125,25.69961166381836,20.8459529876709,12.23680305480957,6.876014709472656,11.9647216796875,0.0,ELEVATED,0.5,1.3
2026-02-19 05:00:00+00:00,399.56,11.614532470703125,34.560028076171875,12.92633056640625,15.0474853515625,18.308855056762695,18.4794921875,9.387015342712402,10.671401977539062,2.343292236328125,0.0,ELEVATED,0.5,1.3
2026-02-20 05:00:00+00:00,398.41,12.537200927734375,15.2845458984375,8.6646728515625,22.591064453125,13.254560470581055,13.029790878295898,7.815673828125,8.647972106933594,17.7352294921875,1.0,ELEVATED,0.5,1.3
2026-02-23 05:00:00+00:00,397.28,8.532196044921875,7.973724365234375,22.683441162109375,28.106475830078125,15.155268669128418,12.507589340209961,10.892744064331055,7.875434875488281,3.57098388671875,1.0,ELEVATED,0.5,1.3
2026-02-24 05:00:00+00:00,384.635,3.84295654296875,4.7015380859375,19.182464599609375,43.293609619140625,17.521589279174805,16.391368865966797,11.459123611450195,4.608367919921875,12.561248779296875,1.0,ELEVATED,0.5,1.3
2026-02-25 05:00:00+00:00,389.06,4.811370849609375,5.892059326171875,4.870025634765625,25.980224609375,10.845869064331055,12.088324546813965,11.326136589050293,6.593650817871094,3.2325439453125,1.0,ELEVATED,0.5,1.3
2026-02-26 05:00:00+00:00,400.52,9.6890869140625,25.669525146484375,9.606781005859375,11.447723388671875,15.032065391540527,14.75859546661377,11.462419509887695,9.438461303710938,10.48028564453125,0.0,ELEVATED,0.5,1.3
2026-02-27 05:00:00+00:00,401.78,7.24981689453125,19.07476806640625,15.40167236328125,23.2265625,14.02635383605957,14.678308486938477,20.98727035522461,11.187744140625,21.200714111328125,1.0,ELEVATED,0.5,1.3
2026-03-02 05:00:00+00:00,392.8,8.21502685546875,3.95196533203125,22.51873779296875,22.045654296875,15.665244102478027,13.98532772064209,9.710104942321777,4.922294616699219,4.29803466796875,0.0,ELEVATED,0.5,1.3
2026-03-03 05:00:00+00:00,398.49,19.477386474609375,14.589752197265625,41.66741943359375,44.74188232421875,28.05145263671875,24.221094131469727,8.886491775512695,8.93133544921875,6.918731689453125,0.0,ELEVATED,0.5,1.3
2026-03-04 05:00:00+00:00,403.8,10.471832275390625,8.401580810546875,9.288726806640625,20.33795166015625,12.849456787109375,12.540692329406738,8.208104133605957,5.594581604003906,1.924957275390625,0.0,ELEVATED,0.5,1.3
