expert,rolling_predictions,directional_hit_rate,path_close_mae,path_ohlc_mae,path_range_mae,step_1_ohlc_mae,step_1_range_mae,step_1_close_mae,step_3_close_mae,step_5_close_mae,step_7_close_mae
v8_5,60,0.45,16.051171906789143,14.829005487759908,3.276124991973241,5.10316899617513,2.865470377604167,6.849520365397136,13.42521464029948,19.255643717447917,23.30997060139974
v9_2,60,0.45,15.399050645033519,14.37513908147812,3.5706970194975534,5.240774536132813,3.7738688151041666,6.913444519042969,14.177041625976562,18.08458709716797,21.530538431803386
v9_5,60,0.55,14.810279170672098,13.843966543674469,3.3455426613489787,5.53088607788086,3.6575586954752604,7.625248718261719,13.332212829589844,17.319168599446616,20.567496744791665
